mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6727498531341553,0.006306723043404133,0.0653714656829834,0.026187964099216,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6276595744680851,0.631578947368421,0.631578947368421,0.6137566137566137,0.6938775510204082,0.6396903267963897,0.027875224466064677,33
1.9372098922729493,0.4060726329099166,0.1265949249267578,0.01226157542668317,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.631578947368421,0.6428571428571429,0.6096256684491979,0.6354166666666666,0.6770833333333334,0.6393123517349524,0.02188832412388598,34
1.915954828262329,0.04116361393049759,0.13013982772827148,0.01806801134776539,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6387434554973822,0.6767676767676768,0.6276595744680851,0.625,0.6974358974358974,0.6531213208338084,0.02887477817555115,31
0.6032011985778809,0.008316109629108014,0.054381704330444335,0.004673849230374373,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6467661691542289,0.7207207207207207,0.6831683168316832,0.6634146341463415,0.6862745098039216,0.6800688701313792,0.0248480299361958,15
1.5068734645843507,0.41115199015639936,0.12985310554504395,0.02701476363399663,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.66,0.728110599078341,0.6831683168316832,0.6666666666666666,0.6859903381642513,0.6847871841481884,0.0237644450554997,7
2.156345176696777,0.4771202077884316,0.12546939849853517,0.009436642162659763,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6435643564356436,0.7162790697674418,0.6699507389162561,0.6467661691542289,0.6859903381642513,0.6725101344875644,0.026849938214098493,25
0.6432592868804932,0.056919249806346175,0.04979639053344727,0.006284657261367423,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6572769953051644,0.7623318385650224,0.6666666666666666,0.6601941747572816,0.704225352112676,0.6901390054813622,0.039844160423853796,1
1.1950690746307373,0.019038867558363735,0.08827004432678223,0.005135714251141972,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6384976525821596,0.7522123893805309,0.6985645933014354,0.6470588235294118,0.6981132075471698,0.6868893332681415,0.04112812413957123,4
2.511649322509766,0.4723291062573095,0.17815403938293456,0.04929720292758367,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.6350710900473934,0.7387387387387387,0.6829268292682927,0.6536585365853659,0.7109004739336493,0.684259133714688,0.037511127927226245,9
1.0210397243499756,0.1413285085249521,0.0929347038269043,0.010452983847304417,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6359447004608295,0.7577092511013216,0.6698113207547169,0.6310679611650486,0.6940639269406392,0.6777194320845112,0.04615092593746867,16
2.1701616287231444,0.39325607761481535,0.15588641166687012,0.04101977218069293,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6330275229357798,0.74235807860262,0.6948356807511737,0.6341463414634146,0.7031963470319634,0.6815127941569903,0.04229474382927483,12
3.3699065685272216,1.0119372778188684,0.23815197944641114,0.018798638796085166,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6384976525821596,0.7510917030567685,0.6981132075471698,0.6372549019607843,0.6968325791855203,0.6843580088664805,0.04270850335557799,8
0.899403190612793,0.09074067949515158,0.09451522827148437,0.015169647801363628,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6388888888888888,0.7391304347826086,0.6602870813397129,0.625,0.7169811320754716,0.6760575074173364,0.04447475424831316,19
2.1266148567199705,0.5092048200914652,0.12667436599731446,0.031901688030874585,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6513761467889908,0.7174887892376681,0.6698113207547169,0.6634615384615384,0.7009345794392523,0.6806144749364333,0.024651299783317628,13
1.7882617950439452,0.22788855729926774,0.11624445915222167,0.0047739010879471735,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6481481481481481,0.7312775330396476,0.6666666666666666,0.6376811594202898,0.6854460093896714,0.6738439033328848,0.03302350464203103,24
0.5528176784515381,0.02138938081253495,0.0504638671875,0.00798432558762711,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6488888888888888,0.7336244541484717,0.6816143497757847,0.6301369863013698,0.684931506849315,0.6758392371927661,0.035412341356403795,20
1.1084213733673096,0.016654732408319262,0.07792696952819825,0.0064484130093898735,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6311111111111111,0.7248908296943232,0.6844444444444444,0.6515837104072398,0.6820276497695853,0.6748115490853407,0.03194388798250199,21
2.317953109741211,0.5512749219706938,0.15022850036621094,0.035107022622708164,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.64,0.7186147186147186,0.6844444444444444,0.6515837104072398,0.6880733944954128,0.6765432535923631,0.028013458602529843,17
0.5521567821502685,0.018364383704609067,0.04752779006958008,0.0063476613776451045,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6147186147186147,0.7196652719665272,0.6545454545454545,0.6228070175438597,0.6782608695652174,0.6579994456679347,0.03830630969184981,30
1.0889212608337402,0.025442669628852378,0.08339624404907227,0.007719924435473669,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6293103448275862,0.75,0.6576576576576577,0.62882096069869,0.672566371681416,0.66767106697307,0.04445933276312612,27
1.730105209350586,0.11639951071236042,0.11694488525390626,0.015008228354607859,10,2,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.6206896551724138,0.7394957983193278,0.6576576576576577,0.625,0.6875,0.6660686222298798,0.04397153818027006,28
1.0206052303314208,0.1416989567892247,0.0889479637145996,0.01676688646157268,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6206896551724138,0.7136929460580913,0.6339285714285714,0.6283185840707964,0.7111111111111111,0.6615481735681968,0.04174213373061124,29
1.1810244083404542,0.11546342254133907,0.07713384628295898,0.004625283977030586,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6160337552742616,0.7407407407407407,0.6666666666666666,0.646551724137931,0.7022222222222222,0.6744430218083645,0.04339841037031664,22
1.632533025741577,0.02206271875166818,0.12212615013122559,0.011709313654550737,10,2,5,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.635593220338983,0.7280334728033473,0.6488888888888888,0.6462882096069869,0.7022222222222222,0.6722052027720857,0.0362590553568476,26
0.6295109272003174,0.014714746904451135,0.05555005073547363,0.007366871553514429,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6129032258064516,0.6243386243386243,0.6421052631578947,0.5913978494623656,0.6804123711340206,0.6302314667798713,0.03000717768621296,36
1.8228803157806397,0.49408301196461674,0.10256390571594239,0.020971445189681356,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6276595744680851,0.6461538461538462,0.6203208556149733,0.6137566137566137,0.6839378238341969,0.638365742765543,0.025232195107771634,35
1.998334789276123,0.2400237887981241,0.1338637351989746,0.018309400669993883,20,1,2,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.631578947368421,0.6598984771573604,0.6421052631578947,0.5989304812834224,0.7142857142857143,0.6493597766505627,0.03804823589439547,32
0.6057478427886963,0.014600416112448522,0.05683555603027344,0.0035394055253331184,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6435643564356436,0.7297297297297297,0.6862745098039216,0.6568627450980392,0.6862745098039216,0.6805411701742511,0.029709289207621985,14
1.2096311092376708,0.03128827757341293,0.09838809967041015,0.02249739540058082,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6567164179104478,0.7397260273972602,0.696078431372549,0.6534653465346535,0.6859903381642513,0.6863953122758323,0.03131552774360354,6
2.4614161968231203,0.4952403979923739,0.14930272102355957,0.03279763136842274,20,1,5,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6435643564356436,0.7162790697674418,0.6732673267326733,0.6467661691542289,0.6923076923076923,0.674436922879536,0.027532829792265515,23
0.593717098236084,0.017033720126003484,0.05516347885131836,0.0017691305796461577,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6635514018691588,0.751131221719457,0.6666666666666666,0.6601941747572816,0.704225352112676,0.689153763425048,0.03483723966065551,2
1.1802991867065429,0.03410237298475535,0.08787178993225098,0.010652703746740808,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6384976525821596,0.7443946188340808,0.6923076923076923,0.6536585365853659,0.704225352112676,0.686616770484395,0.03763621444170586,5
2.2759440422058104,0.677053191693,0.14420642852783203,0.027899584756556343,20,2,2,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.638095238095238,0.7387387387387387,0.6956521739130435,0.6568627450980392,0.7109004739336493,0.6880498739557417,0.036379688144134927,3
0.7612613201141357,0.22019452320229985,0.06076231002807617,0.013326291538493226,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6359447004608295,0.7466666666666667,0.6698113207547169,0.6341463414634146,0.6940639269406392,0.6761265912572535,0.04174795471022077,18
1.161471176147461,0.017107386929537564,0.08694190979003906,0.009245051213470109,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6363636363636364,0.7391304347826086,0.6948356807511737,0.6407766990291263,0.7031963470319634,0.6828605595917018,0.0391312198151979,11
1.688259220123291,0.18962886574986804,0.11520171165466309,0.008854202584344311,20,2,5,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6384976525821596,0.7510917030567685,0.6981132075471698,0.6305418719211823,0.6968325791855203,0.6830154028585602,0.04424599926648784,10
