mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2191832542419434,0.16134444320221195,0.08866648674011231,0.021009089446659857,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6276595744680851,0.631578947368421,0.631578947368421,0.6137566137566137,0.6938775510204082,0.6396903267963897,0.027875224466064677,33
2.03488450050354,0.24466821043373602,0.1496885299682617,0.01847468619863852,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.631578947368421,0.6428571428571429,0.6096256684491979,0.6354166666666666,0.6770833333333334,0.6393123517349524,0.02188832412388598,34
4.22856125831604,0.8408666534581645,0.2521370410919189,0.021686302603193517,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6387434554973822,0.6767676767676768,0.6276595744680851,0.625,0.6974358974358974,0.6531213208338084,0.02887477817555115,31
1.2442509651184082,0.3589856702601225,0.11623330116271972,0.03070117324459421,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6467661691542289,0.7207207207207207,0.6831683168316832,0.6634146341463415,0.6862745098039216,0.6800688701313792,0.0248480299361958,15
2.571827268600464,0.6123381479036725,0.16317896842956542,0.042816186549290355,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.66,0.728110599078341,0.6831683168316832,0.6666666666666666,0.6859903381642513,0.6847871841481884,0.0237644450554997,7
3.1109683513641357,0.39536635902158557,0.22749605178833007,0.03397251543268351,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6435643564356436,0.7162790697674418,0.6699507389162561,0.6467661691542289,0.6859903381642513,0.6725101344875644,0.026849938214098493,25
1.2961198806762695,0.2375643860063466,0.09224071502685546,0.02646610710239131,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6572769953051644,0.7623318385650224,0.6666666666666666,0.6601941747572816,0.704225352112676,0.6901390054813622,0.039844160423853796,1
1.4267757415771485,0.3119752971064753,0.08920016288757324,0.006910730751263975,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6384976525821596,0.7522123893805309,0.6985645933014354,0.6470588235294118,0.6981132075471698,0.6868893332681415,0.04112812413957123,4
1.774083948135376,0.040615188956533564,0.12708001136779784,0.02143907748948378,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.6350710900473934,0.7387387387387387,0.6829268292682927,0.6536585365853659,0.7109004739336493,0.684259133714688,0.037511127927226245,9
0.8974282264709472,0.2074290660412268,0.06708817481994629,0.01599695372483485,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6359447004608295,0.7577092511013216,0.6698113207547169,0.6310679611650486,0.6940639269406392,0.6777194320845112,0.04615092593746867,16
